,Unicode,漢字,繁体字,汉字,日本語の読み,韓国語の読み,ピンイン,频率,累计频率(%),consonant_jp,vowel_jp,rusheng_jp,consonants,vowel,tone,sound,middle_pronounce,middle_tone,middle_tone2,middle_initial,voice_class,jp_voicing,retroflex,korean,日本語_五音,日本語_清濁,韓国語_子音,韓国語_五音,韓国語_清濁,中国語_五音,中国語_清濁,ピンイン2
3691,U+7DEF,緯,緯,纬,イ,위,wěi,734,99.2912082362,,i,False,w,ei,3,wei,云微三合,去,3,云,次濁,その他,False,wi,不明 (),不明 (),ㅇ,喉音,次濁,喉音,次濁,wei3
3692,U+7DF4,練,練,练,レン,련 연,liàn,14052,87.8265990505,r,en,False,l,ian,4,lian,來先四開,去,3,來,次濁,鼻音・流音,False,ryeon yeon,流音,次濁,ㄹ,流音,次濁,舌音,次濁,lian4
3693,U+7DF6,緶,緶,缏,ヘン,편,biàn,20,99.9896813284,h,en,False,b,ian,4,bian,並仙三開,平,1,並,全濁,清,False,pyeon,唇音,全清,ㅍ,唇音,次清,唇音,全清,bian4
3694,U+7DF9,緹,緹,缇,テイ,제,tí,63,99.9570416383,t,ei,False,t,i,2,ti,定齊四開,平,1,定,全濁,清,False,je,舌音,全清,ㅈ,歯音,全清,舌音,次清,ti2
3695,U+7DFB,緻,緻,致,チ,치,zhì,22028,82.0831757825,c,hi,True,zh,i,4,zhi,澄脂三開,去,3,澄,全濁,その他,True,chi,舌音,全清,ㅊ,歯音,次清,歯音,全清,zhi4
3696,U+7E08,縈,縈,萦,エイ,영,yíng,409,99.6127031088,,ei,False,y,ing,2,ying,影清三合,平,1,影,全清,その他,False,yeong,不明 (),不明 (),ㅇ,喉音,次濁,喉音,次濁,ying2
3697,U+7E09,縉,縉,缙,シン,진,jìn,139,99.8764773749,s,hin,False,j,in,4,jin,精眞三開,去,3,精,全清,清,False,jin,歯音,全清,ㅈ,歯音,全清,歯音,全清,jin4
3698,U+7E0A,縊,縊,缢,イ,액,yì,132,99.8842103614,,i,False,y,i,4,yi,影支三開,去,3,影,全清,その他,False,aek,不明 (),不明 (),ㅇ,喉音,次濁,喉音,次濁,yi4
3699,U+7E0B,縋,縋,缒,ツイ,추,zhuì,68,99.9521671176,ts,ui,False,zh,ui,4,zhui,澄支三合,去,3,澄,全濁,その他,True,chu,舌音,全清,ㅊ,歯音,次清,歯音,全清,zhui4
3700,U+7E10,縐,縐,绉,シュウ,추,zhòu,225,99.7933136727,s,huu,False,zh,ou,4,zhou,初肴二開,去,3,初,次清,清,True,chu,歯音,全清,ㅊ,歯音,次清,歯音,全清,zhou4
3701,U+7E11,縑,縑,缣,ケン,겸,jiān,46,99.9732709386,k,en,False,j,ian,1,jian,見添四開,平,1,見,全清,清,False,gyeom,牙音,全清,ㄱ,牙音,全清,歯音,全清,jian1
3703,U+7E17,縗,縗,缞,サイ,최,cuī,6,99.9960882343,s,ai,False,c,ui,1,cui,清灰一合,平,1,清,次清,清,False,choe,歯音,全清,ㅊ,歯音,次清,歯音,次清,cui1
3704,U+7E1B,縛,縛,缚,バク,박,fù,1322,98.738297984,b,aku,True,f,u,4,fu,並戈一合,去,3,並,全濁,濁,False,bak,唇音,全濁,ㅂ,唇音,全清,唇音,次清,fu4
3705,U+7E1D,縝,縝,缜,シン,진,chēn,217,99.8028988166,s,hin,False,ch,en,1,chen,徹眞三開,平,1,徹,次清,清,True,jin,歯音,全清,ㅈ,歯音,全清,歯音,次清,chen1
3706,U+7E1E,縞,縞,缟,コウ,호,gǎo,90,99.9305521195,k,ou,False,g,ao,3,gao,見豪一開,上,2,見,全清,清,False,ho,牙音,全清,ㅎ,喉音,次清,牙音,全清,gao3
3707,U+7E1F,縟,縟,缛,ジョク,욕,rù,100,99.9193360227,j,oku,True,r,u,4,ru,日鍾三開,入,4,日,次濁,その他,True,yok,歯音,全濁,ㅇ,喉音,次濁,歯音,次濁,ru4
3708,U+7E20,縠,縠,縠,コク,곡,hú,14,99.9923025438,k,oku,True,h,u,2,hu,匣東一開,入,4,匣,全濁,清,False,gok,牙音,全清,ㄱ,牙音,全清,牙音,次清,hu2
3709,U+7E22,縢,縢,縢,トウ,등,téng,1,99.9991392511,t,ou,False,t,eng,2,teng,定登一開,平,1,定,全濁,清,False,deung,舌音,全清,ㄷ,舌音,全清,舌音,次清,teng2
3710,U+7E23,縣,縣,县,ケン,현,xiàn,15682,86.5336476087,k,en,False,x,ian,4,xian,匣先四合,平,1,匣,全濁,清,False,hyeon,牙音,全清,ㅎ,喉音,次清,歯音,次清,xian4
3711,U+7E2B,縫,縫,缝,ホウ,봉,fèng,5988,94.2931350645,h,ou,False,f,eng,4,feng,並鍾三開,平,1,並,全濁,清,False,bong,唇音,全清,ㅂ,唇音,全清,唇音,次清,feng4
3712,U+7E2E,縮,縮,缩,シュク,축,suō,6929,93.5049526816,s,huku,True,s,uo,1,suo,生東三開,入,4,生,全清,清,False,chuk,歯音,全清,ㅊ,歯音,次清,歯音,次清,suo1
3713,U+7E31,縱,縱,纵,ジュウ,종,zòng,11077,89.9704368855,j,uu,False,z,ong,4,zong,精鍾三開,平,1,精,全清,その他,False,jong,歯音,全濁,ㅈ,歯音,全清,歯音,全清,zong4
3715,U+7E35,縵,縵,缦,マン,만,màn,90,99.9306552719,m,an,False,m,an,4,man,明桓一合,去,3,明,次濁,鼻音・流音,False,man,唇音,次濁,なし,なし,なし,唇音,次濁,man4
3716,U+7E37,縷,縷,缕,ル,누 루,lǚ,1714,98.3898631608,r,u,False,l,ü,3,lü,來虞三合,上,2,來,次濁,鼻音・流音,False,nu ru,流音,次濁,ㄴ,舌音,次濁,舌音,次濁,lü3
3717,U+7E39,縹,縹,缥,ヒョウ,표,piǎo,258,99.7638201288,h,you,False,p,iao,3,piao,滂宵三開,上,2,滂,次清,清,False,pyo,唇音,全清,ㅍ,唇音,次清,唇音,次清,piao3
3718,U+7E3B,縻,縻,縻,ビ,미,mí,30,99.9837099545,b,i,False,m,i,2,mi,明支三開,平,1,明,次濁,濁,False,mi,唇音,全濁,なし,なし,なし,唇音,次濁,mi2
3719,U+7E3D,總,總,总,ソウ,총,zǒng,71505,61.3050858237,s,ou,False,z,ong,3,zong,精東一開,上,2,精,全清,清,False,chong,歯音,全清,ㅊ,歯音,次清,歯音,全清,zong3
3720,U+7E3E,績,績,绩,セキ,적,jī,3669,96.4854556416,s,eki,True,j,i,1,ji,精青四開,入,4,精,全清,清,False,jeok,歯音,全清,ㅈ,歯音,全清,歯音,全清,ji1
3721,U+7E41,繁,繁,繁,ハン,번,fán,5849,94.4150943587,h,an,False,f,an,2,fan,並元三合,平,1,並,全濁,清,False,beon,唇音,全清,ㅂ,唇音,全清,唇音,次清,fan2
3722,U+7E43,繃,繃,绷,ホウ,붕,běng bēng,1519,98.5478959715,h,ou,False,b,eng beng,1,beng beng,幫耕二開,平,1,幫,全清,清,False,bung,唇音,全清,ㅂ,唇音,全清,唇音,全清,beng3 beng1
3723,U+7E45,繅,繅,缫,ソウ,소,sāo,194,99.823612951,s,ou,False,s,ao,1,sao,精豪一開,上,2,精,全清,清,False,so,歯音,全清,ㅅ,歯音,全清,歯音,次清,sao1
3724,U+7E46,繆,繆,缪,ボク,무,móu,705,99.3125894223,b,oku,True,m,ou,2,mou,明尤三開,平,1,明,次濁,濁,False,mu,唇音,全濁,なし,なし,なし,唇音,次濁,mou2
3725,U+7E47,繇,繇,繇,ヨウ,요,yáo,90,99.9311710335,y,ou,False,y,ao,2,yao,以宵三開,平,1,以,次濁,鼻音・流音,False,yo,喉音,次濁,ㅇ,喉音,次濁,喉音,次濁,yao2
3726,U+7E52,繒,繒,缯,ショウ,증,zēng,44,99.9746485952,s,hou,False,z,eng,1,zeng,從蒸三開,平,1,從,全濁,清,False,jeung,歯音,全清,ㅈ,歯音,全清,歯音,全清,zeng1
3727,U+7E54,織,織,织,ショク,직,zhī,11574,89.6327276125,s,hoku,True,zh,i,1,zhi,章之三開,去,3,章,全清,清,True,jik,歯音,全清,ㅈ,歯音,全清,歯音,全清,zhi1
3728,U+7E55,繕,繕,缮,ゼン,선,shàn,254,99.7676298882,z,en,False,sh,an,4,shan,常仙三開,去,3,常,全濁,濁,True,seon,歯音,全濁,ㅅ,歯音,全清,歯音,次清,shan4
3729,U+7E5A,繚,繚,缭,リョウ,료,liáo,619,99.3963537003,r,you,False,l,iao,2,liao,來蕭四開,平,1,來,次濁,鼻音・流音,False,ryo,流音,次濁,ㄹ,流音,次濁,舌音,次濁,liao2
3730,U+7E5E,繞,繞,绕,ジョウ,요,rào,7385,93.0725541525,j,ou,False,r,ao,4,rao,日宵三開,上,2,日,次濁,その他,True,yo,歯音,全濁,ㅇ,喉音,次濁,歯音,次濁,rao4
3731,U+7E61,繡,繡,绣,シュウ,수,xiù,3089,97.1138298475,s,huu,False,x,iu,4,xiu,心尤三開,去,3,心,全清,清,False,su,歯音,全清,ㅅ,歯音,全清,歯音,次清,xiu4
3732,U+7E62,繢,繢,缋,カイ,궤,huì,34,99.9810589396,k,ai,False,h,ui,4,hui,匣灰一合,去,3,匣,全濁,清,False,gwe,牙音,全清,ㄱ,牙音,全清,牙音,次清,hui4
3733,U+7E69,繩,繩,绳,ショウ,승,shéng,4963,95.2127736329,s,hou,False,sh,eng,2,sheng,船蒸三開,平,1,船,全濁,清,True,seung,歯音,全清,ㅅ,歯音,全清,歯音,次清,sheng2
3734,U+7E6A,繪,繪,绘,カイ,회,huì,3071,97.1491010681,k,ai,False,h,ui,4,hui,匣泰一合,去,3,匣,全濁,清,False,hoe,牙音,全清,ㅎ,喉音,次清,牙音,次清,hui4
3735,U+7E6B,繫,繫,系,ケイ,계,xì,37526,72.9094710036,k,ei,False,x,i,4,xi,見齊四開,去,3,見,全清,清,False,gye,牙音,全清,ㄱ,牙音,全清,歯音,次清,xi4
3736,U+7E6D,繭,繭,茧,ケン,견,jiǎn,492,99.5154889129,k,en,False,j,ian,3,jian,見先四開,上,2,見,全清,清,False,gyeon,牙音,全清,ㄱ,牙音,全清,歯音,全清,jian3
3737,U+7E6F,繯,繯,缳,ケン,현,huán,16,99.9916011079,k,en,False,h,uan,2,huan,匣刪二合,去,3,匣,全濁,清,False,hyeon,牙音,全清,ㅎ,喉音,次清,牙音,次清,huan2
3738,U+7E70,繰,繰,缲,ソウ,조,zǎo,2,99.9984366691,s,ou,False,z,ao,3,zao,心豪一開,平,1,心,全清,清,False,jo,歯音,全清,ㅈ,歯音,全清,歯音,全清,zao3
3739,U+7E79,繹,繹,绎,エキ,역,yì,462,99.5532472509,,eki,True,y,i,4,yi,以清三開,入,4,以,次濁,その他,False,yeok,不明 (),不明 (),ㅇ,喉音,次濁,喉音,次濁,yi4
3740,U+7E7C,繼,繼,继,キ,계,jì,21446,82.4805025187,k,i,True,j,i,4,ji,見齊四開,去,3,見,全清,清,False,gye,牙音,全清,ㄱ,牙音,全清,歯音,全清,ji4
3741,U+7E7D,繽,繽,缤,ヒン,빈,bīn,461,99.5543039892,h,in,False,b,in,1,bin,滂眞三開,平,1,滂,次清,清,False,bin,唇音,全清,ㅂ,唇音,全清,唇音,全清,bin1
3742,U+7E7E,繾,繾,缱,ケン,견,qiǎn,67,99.9530175513,k,en,False,q,ian,3,qian,溪仙三開,上,2,溪,次清,清,False,gyeon,牙音,全清,ㄱ,牙音,全清,歯音,次清,qian3
3743,U+7E82,纂,纂,纂,サン,찬,zuǎn,380,99.6434172887,s,an,False,z,uan,3,zuan,精桓一合,上,2,精,全清,清,False,chan,歯音,全清,ㅊ,歯音,次清,歯音,全清,zuan3
3744,U+7E88,纈,纈,缬,ケチ,힐,xié,68,99.9522450549,k,echi,True,x,ie,2,xie,匣先四開,入,4,匣,全濁,清,False,hil,牙音,全清,ㅎ,喉音,次清,歯音,次清,xie2
3745,U+7E8A,纊,纊,纩,コウ,광,kuàng,12,99.9935632945,k,ou,False,k,uang,4,kuang,溪唐一合,去,3,溪,次清,清,False,gwang,牙音,全清,ㄱ,牙音,全清,牙音,次清,kuang4
3746,U+7E8C,續,續,续,ショク,속,xù,23279,81.255724453,s,hoku,True,x,u,4,xu,邪鍾三開,入,4,邪,全濁,清,False,sok,歯音,全清,ㅅ,歯音,全清,歯音,次清,xu4
3747,U+7E8D,纍,纍,累,ルイ,류,léi,8402,92.1893570106,r,ui,False,l,ei,2,lei,來脂三合,平,1,來,次濁,鼻音・流音,False,ryu,流音,次濁,ㄹ,流音,次濁,舌音,次濁,lei2
3748,U+7E8F,纏,纏,缠,テン,전,chán,4938,95.2468116101,t,en,False,ch,an,2,chan,澄仙三開,平,1,澄,全濁,清,True,jeon,舌音,全清,ㅈ,歯音,全清,歯音,次清,chan2
3749,U+7E93,纓,纓,缨,エイ,영,yīng,313,99.7040754443,,ei,False,y,ing,1,ying,影清三開,平,1,影,全清,その他,False,yeong,不明 (),不明 (),ㅇ,喉音,次濁,喉音,次濁,ying1
3750,U+7E94,纔,纔,才,サイ,재,cái,106400,52.7914390625,s,ai,False,c,ai,2,cai,從咍一開,平,1,從,全濁,清,False,jae,歯音,全清,ㅈ,歯音,全清,歯音,次清,cai2
3751,U+7E96,纖,纖,纤,セン,섬,xiān,1752,98.3521873446,s,en,False,x,ian,1,xian,心鹽三開,平,1,心,全清,清,False,seom,歯音,全清,ㅅ,歯音,全清,歯音,次清,xian1
3753,U+7E9B,纛,纛,纛,トウ,독,dào,19,99.9903907872,t,ou,False,d,ao,4,dao,定豪一開,去,3,定,全濁,清,False,dok,舌音,全清,ㄷ,舌音,全清,舌音,全清,dao4
3754,U+7E9C,纜,纜,缆,ラン,람,lǎn,643,99.3797438826,r,an,False,l,an,3,lan,來覃一開,上,2,來,次濁,鼻音・流音,False,ram,流音,次濁,ㄹ,流音,次濁,舌音,次濁,lan3
3755,U+7F36,缶,缶,缶,カン,부,fǒu,102,99.9174850114,k,an,False,f,ou,3,fou,幫尤三開,上,2,幫,全清,清,False,bu,牙音,全清,ㅂ,唇音,全清,唇音,次清,fou3
3756,U+7F38,缸,缸,缸,コウ,항,gāng,1801,98.2992736368,k,ou,False,g,ang,1,gang,匣江二開,平,1,匣,全濁,清,False,hang,牙音,全清,ㅎ,喉音,次清,牙音,全清,gang1
3757,U+7F3A,缺,缺,缺,ケチ,결,quē,13369,88.2647156572,k,echi,True,q,ue,1,que,溪先四合,入,4,溪,次清,清,False,gyeol,牙音,全清,ㄱ,牙音,全清,歯音,次清,que1
3758,U+7F3E,缾,缾,缾,ヘイ,병,píng,1,99.9999289395,h,ei,False,p,ing,2,ping,並青四開,平,1,並,全濁,清,False,byeong,唇音,全清,ㅂ,唇音,全清,唇音,次清,ping2
3759,U+7F44,罄,罄,罄,ケイ,경,qìng,182,99.8350044068,k,ei,False,q,ing,4,qing,溪青四開,去,3,溪,次清,清,False,gyeong,牙音,全清,ㄱ,牙音,全清,歯音,次清,qing4
3760,U+7F45,罅,罅,罅,カ,하,xià,176,99.8413700518,k,a,False,x,ia,4,xia,曉麻二開,去,3,曉,全清,清,False,ha,牙音,全清,ㅎ,喉音,次清,歯音,次清,xia4
3761,U+7F47,罇,罇,罇,ソン,준,zūn,1,99.9993329483,s,on,False,z,un,1,zun,精魂一合,平,1,精,全清,清,False,jun,歯音,全清,ㅈ,歯音,全清,歯音,全清,zun1
3762,U+7F4C,罌,罌,罂,オウ,앵,yīng,219,99.7999062529,,ou,False,y,ing,1,ying,影耕二開,平,1,影,全清,その他,False,aeng,不明 (),不明 (),ㅇ,喉音,次濁,喉音,次濁,ying1
3763,U+7F4D,罍,罍,罍,ライ,뢰,léi,1,99.9994429774,r,ai,False,l,ei,2,lei,來灰一合,平,1,來,次濁,鼻音・流音,False,roe,流音,次濁,ㄹ,流音,次濁,舌音,次濁,lei2
3766,U+7F54,罔,罔,罔,ボウ,망,wǎng,314,99.7033568164,b,ou,False,w,ang,3,wang,明陽三合,上,2,明,次濁,濁,False,mang,唇音,全濁,なし,なし,なし,喉音,次濁,wang3
3768,U+7F58,罘,罘,罘,フ,부,fú,78,99.9434748144,f,u,False,f,u,2,fu,並尤三開,平,1,並,全濁,その他,False,bu,唇音,全清,ㅂ,唇音,全清,唇音,次清,fu2
3769,U+7F5F,罟,罟,罟,コ,고,gǔ,74,99.9472960353,k,o,False,g,u,3,gu,見模一開,上,2,見,全清,清,False,go,牙音,全清,ㄱ,牙音,全清,牙音,全清,gu3
3771,U+7F63,罣,罣,罣,カイ,괘,guà,7,99.9953948215,k,ai,False,g,ua,4,gua,見齊四合,去,3,見,全清,清,False,gwae,牙音,全清,ㄱ,牙音,全清,牙音,全清,gua4
3772,U+7F68,罨,罨,罨,アン,엄,yǎn,33,99.9813248434,,an,False,y,an,3,yan,影鹽三開,上,2,影,全清,その他,False,eom,不明 (),不明 (),ㅇ,喉音,次濁,喉音,次濁,yan3
